merchant,category
H&M Books Purchase,Clothing
H&M Clothing Purchase,Clothing
Saravana Bhavan Meal,Food
Nike Clothing Purchase,Clothing
Dominos Meal,Food
D-Mart Groceries Purchase,Food
Spencer's Groceries Purchase,Food
Fuel Purchase,Transportation
Rent Payment,Housing
D-Mart Phone Charger Purchase,Technology
Reliance Fresh Phone Charger Purchase,Technology
Starbucks Meal,Food
Nike Shoes Purchase,Clothing
Levis Groceries Purchase,Food
Spencer's Laptop Purchase,Technology
Uniqlo Groceries Purchase,Food
Starbucks Meal,Food
H&M Clothing Purchase,Clothing
Reliance Fresh Laptop Purchase,Technology
Levis Phone Charger Purchase,Clothing
Dominos Meal,Food
Amazon Prime Payment,Entertainment
Medical Bill at Aster,Utilities
Big Bazaar Headphones Purchase,Technology
Water Bill Payment,Utilities
Spencer's Phone Charger Purchase,Technology
Nike Furniture Purchase,Clothing
Carrefour Books Purchase,Education
H&M Laptop Purchase,Clothing
D-Mart Books Purchase,Education
Uniqlo Headphones Purchase,Technology
H&M Phone Charger Purchase,Clothing
Reliance Fresh Headphones Purchase,Technology
Shopping at Nike,Clothing
Spencer's Phone Charger Purchase,Technology
H&M Laptop Purchase,Clothing
Reliance Fresh Laptop Purchase,Technology
Medical Bill at Aster,Utilities
D-Mart Headphones Purchase,Technology
Netflix Subscription Payment,Entertainment
Zara Shoes Purchase,Clothing
Levis Laptop Purchase,Clothing
Nike Books Purchase,Clothing
H&M Shoes Purchase,Clothing
Zara Groceries Purchase,Food
Train Ticket,Transportation
Dominos Meal,Food
Airline Ticket,Transportation
D-Mart Groceries Purchase,Food
Nike Groceries Purchase,Food
Carrefour Phone Charger Purchase,Technology
Burger King Meal,Food
H&M Groceries Purchase,Food
H&M Headphones Purchase,Clothing
Carrefour Books Purchase,Education
Zara Furniture Purchase,Clothing
Zara Furniture Purchase,Clothing
Big Bazaar Books Purchase,Education
Nike Laptop Purchase,Clothing
Ola Cab,Transportation
Carrefour Headphones Purchase,Technology
Ola Cab,Transportation
Zara Groceries Purchase,Food
Spencer's Laptop Purchase,Technology
Nike Headphones Purchase,Clothing
Big Bazaar Phone Charger Purchase,Technology
H&M Books Purchase,Clothing
Spencer's Headphones Purchase,Technology
Zomato Meal,Food
Levis Jewelry Purchase,Clothing
H&M Furniture Purchase,Clothing
Nike Jewelry Purchase,Clothing
Amazon Prime Payment,Entertainment
Medical Bill at Aster,Utilities
D-Mart Groceries Purchase,Food
Mobile Recharge Payment,Utilities
Reliance Fresh Headphones Purchase,Technology
Nike Laptop Purchase,Clothing
Spotify Payment,Entertainment
Uniqlo Phone Charger Purchase,Technology
Medical Bill at Aster,Utilities
Levis Laptop Purchase,Clothing
D-Mart Laptop Purchase,Technology
Spencer's Headphones Purchase,Technology
Starbucks Meal,Food
Carrefour Headphones Purchase,Technology
Big Bazaar Laptop Purchase,Technology
Shopping at Levis,Clothing
H&M Phone Charger Purchase,Clothing
Saravana Bhavan Meal,Food
Train Ticket,Transportation
D-Mart Phone Charger Purchase,Technology
Uniqlo Groceries Purchase,Food
Carrefour Phone Charger Purchase,Technology
Electricity Bill Payment,Utilities
Mobile Recharge Payment,Utilities
Spencer's Books Purchase,Education
Nike Clothing Purchase,Clothing
Fuel Purchase,Transportation
Levis Shoes Purchase,Clothing
Spotify Payment,Entertainment
Gym Membership,Personal Care
Zara Phone Charger Purchase,Clothing
Starbucks Meal,Food
Burger King Meal,Food
Uniqlo Laptop Purchase,Technology
H&M Groceries Purchase,Food
Spencer's Groceries Purchase,Food
Carrefour Phone Charger Purchase,Technology
Uber Ride,Transportation
Carrefour Laptop Purchase,Technology
Levis Furniture Purchase,Clothing
Shopping at Nike,Clothing
Big Bazaar Phone Charger Purchase,Technology
Uniqlo Headphones Purchase,Technology
Nike Shoes Purchase,Clothing
Big Bazaar Laptop Purchase,Technology
Metro Ticket,Transportation
Spotify Payment,Entertainment
Shopping at Levis,Clothing
Gym Membership,Personal Care
Levis Clothing Purchase,Clothing
Ola Cab,Transportation
H&M Shoes Purchase,Clothing
Levis Furniture Purchase,Clothing
D-Mart Headphones Purchase,Technology
Saravana Bhavan Meal,Food
Nike Shoes Purchase,Clothing
Spencer's Phone Charger Purchase,Technology
Reliance Fresh Books Purchase,Education
Burger King Meal,Food
Uber Ride,Transportation
Nike Books Purchase,Clothing
Zara Headphones Purchase,Clothing
Pizza Hut Meal,Food
Levis Shoes Purchase,Clothing
Zomato Meal,Food
Nike Groceries Purchase,Food
Big Bazaar Headphones Purchase,Technology
Pizza Hut Meal,Food
Flight Ticket to London,Transportation
Levis Phone Charger Purchase,Clothing
Zara Clothing Purchase,Clothing
Bus Ticket,Transportation
Starbucks Meal,Food
Shopping at Zara,Clothing
Reliance Fresh Groceries Purchase,Food
Spencer's Phone Charger Purchase,Technology
Internet Bill Payment,Utilities
Zara Phone Charger Purchase,Clothing
Nike Furniture Purchase,Clothing
Zara Headphones Purchase,Clothing
Rent Payment,Housing
Rent Payment,Housing
Electricity Bill Payment,Utilities
Carrefour Books Purchase,Education
Burger King Meal,Food
Zara Clothing Purchase,Clothing
H&M Groceries Purchase,Food
Uniqlo Headphones Purchase,Technology
Metro Ticket,Transportation
Carrefour Headphones Purchase,Technology
Electricity Bill Payment,Utilities
Medical Bill at Apollo,Utilities
Reliance Fresh Groceries Purchase,Food
Nike Furniture Purchase,Clothing
H&M Shoes Purchase,Clothing
Bus Ticket,Transportation
Medical Bill at Aster,Utilities
Nike Headphones Purchase,Clothing
H&M Laptop Purchase,Clothing
Fuel Purchase,Transportation
Mobile Recharge Payment,Utilities
Netflix Subscription Payment,Entertainment
Rent Payment,Housing
Mobile Recharge Payment,Utilities
D-Mart Headphones Purchase,Technology
Spotify Payment,Entertainment
Levis Phone Charger Purchase,Clothing
Zara Phone Charger Purchase,Clothing
Uniqlo Phone Charger Purchase,Technology
Levis Groceries Purchase,Food
Water Bill Payment,Utilities
Zara Laptop Purchase,Clothing
Zara Books Purchase,Clothing
Levis Books Purchase,Clothing
Zara Books Purchase,Clothing
Medical Bill at Aster,Utilities
Gym Membership,Personal Care
Big Bazaar Laptop Purchase,Technology
Levis Phone Charger Purchase,Clothing
Uniqlo Books Purchase,Education
Water Bill Payment,Utilities
Electricity Bill Payment,Utilities
Saravana Bhavan Meal,Food
H&M Clothing Purchase,Clothing
Amazon Prime Payment,Entertainment
Levis Clothing Purchase,Clothing
Spencer's Phone Charger Purchase,Technology
Pizza Hut Meal,Food
Fuel Purchase,Transportation
Shopping at Nike,Clothing
Pizza Hut Meal,Food
Gym Membership,Personal Care
Spencer's Laptop Purchase,Technology
Carrefour Laptop Purchase,Technology
Levis Phone Charger Purchase,Clothing
Gym Membership,Personal Care
Zara Phone Charger Purchase,Clothing
Spotify Payment,Entertainment
Zara Laptop Purchase,Clothing
Zara Jewelry Purchase,Clothing
Uniqlo Books Purchase,Education
Metro Ticket,Transportation
Reliance Fresh Headphones Purchase,Technology
Reliance Fresh Headphones Purchase,Technology
Big Bazaar Groceries Purchase,Food
H&M Books Purchase,Clothing
Zara Books Purchase,Clothing
Big Bazaar Books Purchase,Education
Reliance Fresh Phone Charger Purchase,Technology
Sagar Ratna Meal,Food
Uber Ride,Transportation
Medical Bill at Apollo,Utilities
Uber Ride,Transportation
H&M Groceries Purchase,Food
Uniqlo Books Purchase,Education
Ola Cab,Transportation
Zara Books Purchase,Clothing
Nike Jewelry Purchase,Clothing
Levis Shoes Purchase,Clothing
Shopping at Zara,Clothing
Levis Phone Charger Purchase,Clothing
Levis Laptop Purchase,Clothing
Mobile Recharge Payment,Utilities
Zara Furniture Purchase,Clothing
Shopping at Levis,Clothing
Burger King Meal,Food
Carrefour Groceries Purchase,Food
Amazon Prime Payment,Entertainment
Internet Bill Payment,Utilities
Uniqlo Laptop Purchase,Technology
Starbucks Meal,Food
Pizza Hut Meal,Food
Levis Books Purchase,Clothing
D-Mart Laptop Purchase,Technology
H&M Shoes Purchase,Clothing
Big Bazaar Phone Charger Purchase,Technology
Spencer's Phone Charger Purchase,Technology
Zomato Meal,Food
McDonald's Meal,Food
Zara Books Purchase,Clothing
H&M Jewelry Purchase,Clothing
H&M Phone Charger Purchase,Clothing
Carrefour Groceries Purchase,Food
Rent Payment,Housing
McDonald's Meal,Food
H&M Groceries Purchase,Food
Levis Clothing Purchase,Clothing
Saravana Bhavan Meal,Food
Spotify Payment,Entertainment
Spencer's Books Purchase,Education
Medical Bill at Apollo,Utilities
Uniqlo Phone Charger Purchase,Technology
H&M Jewelry Purchase,Clothing
D-Mart Laptop Purchase,Technology
Flight Ticket to Berlin,Transportation
Fuel Purchase,Transportation
Fuel Purchase,Transportation
Electricity Bill Payment,Utilities
Ola Cab,Transportation
Levis Shoes Purchase,Clothing
Bus Ticket,Transportation
H&M Jewelry Purchase,Clothing
Big Bazaar Books Purchase,Education
Reliance Fresh Phone Charger Purchase,Technology
Nike Shoes Purchase,Clothing
Nike Groceries Purchase,Food
Sagar Ratna Meal,Food
Reliance Fresh Groceries Purchase,Food
D-Mart Laptop Purchase,Technology
H&M Shoes Purchase,Clothing
Shopping at Nike,Clothing
McDonald's Meal,Food
Nike Jewelry Purchase,Clothing
Levis Headphones Purchase,Clothing
Nike Laptop Purchase,Clothing
H&M Jewelry Purchase,Clothing
H&M Phone Charger Purchase,Clothing
Zara Laptop Purchase,Clothing
Starbucks Meal,Food
D-Mart Books Purchase,Education
Reliance Fresh Phone Charger Purchase,Technology
Nike Furniture Purchase,Clothing
Shopping at Zara,Clothing
Uniqlo Headphones Purchase,Technology
Spencer's Headphones Purchase,Technology
Metro Ticket,Transportation
Medical Bill at Fortis,Utilities
Shopping at H&M,Clothing
Shopping at Zara,Clothing
Netflix Subscription Payment,Entertainment
Zara Headphones Purchase,Clothing
Reliance Fresh Groceries Purchase,Food
Ola Cab,Transportation
Spencer's Books Purchase,Education
D-Mart Books Purchase,Education
Amazon Prime Payment,Entertainment
Bus Ticket,Transportation
Zara Jewelry Purchase,Clothing
Nike Phone Charger Purchase,Clothing
Amazon Prime Payment,Entertainment
Zara Shoes Purchase,Clothing
Nike Clothing Purchase,Clothing
H&M Phone Charger Purchase,Clothing
H&M Laptop Purchase,Clothing
Bus Ticket,Transportation
Zara Headphones Purchase,Clothing
Zara Clothing Purchase,Clothing
Carrefour Phone Charger Purchase,Technology
H&M Headphones Purchase,Clothing
Ola Cab,Transportation
Rent Payment,Housing
Pizza Hut Meal,Food
Carrefour Groceries Purchase,Food
Uniqlo Books Purchase,Education
Zara Phone Charger Purchase,Clothing
Uniqlo Groceries Purchase,Food
Uber Ride,Transportation
H&M Phone Charger Purchase,Clothing
Shopping at Zara,Clothing
Medical Bill at Apollo,Utilities
D-Mart Laptop Purchase,Technology
Saravana Bhavan Meal,Food
Saravana Bhavan Meal,Food
Big Bazaar Phone Charger Purchase,Technology
Shopping at Nike,Clothing
Levis Phone Charger Purchase,Clothing
Sagar Ratna Meal,Food
McDonald's Meal,Food
Medical Bill at Fortis,Utilities
Zara Jewelry Purchase,Clothing
Nike Groceries Purchase,Food
Carrefour Groceries Purchase,Food
Big Bazaar Laptop Purchase,Technology
Shopping at Zara,Clothing
Nike Phone Charger Purchase,Clothing
Train Ticket,Transportation
Internet Bill Payment,Utilities
Airline Ticket,Transportation
H&M Shoes Purchase,Clothing
Levis Headphones Purchase,Clothing
Netflix Subscription Payment,Entertainment
Big Bazaar Groceries Purchase,Food
H&M Shoes Purchase,Clothing
Nike Books Purchase,Clothing
Swiggy Meal,Food
Medical Bill at Fortis,Utilities
H&M Books Purchase,Clothing
Uniqlo Laptop Purchase,Technology
Levis Groceries Purchase,Food
Big Bazaar Groceries Purchase,Food
Metro Ticket,Transportation
Zara Headphones Purchase,Clothing
Pizza Hut Meal,Food
Water Bill Payment,Utilities
Train Ticket,Transportation
D-Mart Phone Charger Purchase,Technology
Nike Laptop Purchase,Clothing
H&M Phone Charger Purchase,Clothing
Shopping at Levis,Clothing
Nike Headphones Purchase,Clothing
Levis Clothing Purchase,Clothing
Levis Clothing Purchase,Clothing
Amazon Prime Payment,Entertainment
Medical Bill at Fortis,Utilities
Uniqlo Headphones Purchase,Technology
Levis Jewelry Purchase,Clothing
D-Mart Laptop Purchase,Technology
Zara Clothing Purchase,Clothing
Sagar Ratna Meal,Food
Internet Bill Payment,Utilities
Uniqlo Phone Charger Purchase,Technology
Dominos Meal,Food
Zara Headphones Purchase,Clothing
H&M Jewelry Purchase,Clothing
Train Ticket,Transportation
Levis Books Purchase,Clothing
Sagar Ratna Meal,Food
Spencer's Books Purchase,Education
Zara Headphones Purchase,Clothing
Carrefour Phone Charger Purchase,Technology
Internet Bill Payment,Utilities
Levis Jewelry Purchase,Clothing
Spencer's Books Purchase,Education
Gym Membership,Personal Care
Big Bazaar Phone Charger Purchase,Technology
H&M Furniture Purchase,Clothing
Reliance Fresh Headphones Purchase,Technology
Zara Shoes Purchase,Clothing
Electricity Bill Payment,Utilities
Levis Shoes Purchase,Clothing
Levis Groceries Purchase,Food
Uniqlo Books Purchase,Education
D-Mart Books Purchase,Education
Gym Membership,Personal Care
Big Bazaar Groceries Purchase,Food
Mobile Recharge Payment,Utilities
Internet Bill Payment,Utilities
Zomato Meal,Food
Zara Jewelry Purchase,Clothing
Levis Jewelry Purchase,Clothing
Levis Shoes Purchase,Clothing
Flight Ticket to Chennai,Transportation
Fuel Purchase,Transportation
Carrefour Headphones Purchase,Technology
Spencer's Headphones Purchase,Technology
Nike Clothing Purchase,Clothing
Uber Ride,Transportation
D-Mart Phone Charger Purchase,Technology
Spotify Payment,Entertainment
Nike Jewelry Purchase,Clothing
Sagar Ratna Meal,Food
Saravana Bhavan Meal,Food
Uniqlo Headphones Purchase,Technology
Medical Bill at Fortis,Utilities
Airline Ticket,Transportation
Metro Ticket,Transportation
Spencer's Books Purchase,Education
Zomato Meal,Food
Gym Membership,Personal Care
Uniqlo Laptop Purchase,Technology
Zara Groceries Purchase,Food
H&M Headphones Purchase,Clothing
Water Bill Payment,Utilities
Airline Ticket,Transportation
D-Mart Headphones Purchase,Technology
Uniqlo Books Purchase,Education
Shopping at Levis,Clothing
Levis Furniture Purchase,Clothing
Mobile Recharge Payment,Utilities
Spencer's Headphones Purchase,Technology
D-Mart Groceries Purchase,Food
Levis Books Purchase,Clothing
Uniqlo Headphones Purchase,Technology
Gym Membership,Personal Care
Burger King Meal,Food
Spencer's Groceries Purchase,Food
Starbucks Meal,Food
Swiggy Meal,Food
Zomato Meal,Food
Shopping at H&M,Clothing
Netflix Subscription Payment,Entertainment
Uber Ride,Transportation
Shopping at Levis,Clothing
McDonald's Meal,Food
Zara Headphones Purchase,Clothing
H&M Clothing Purchase,Clothing
Reliance Fresh Phone Charger Purchase,Technology
Carrefour Groceries Purchase,Food
Water Bill Payment,Utilities
Spotify Payment,Entertainment
Zara Phone Charger Purchase,Clothing
Reliance Fresh Phone Charger Purchase,Technology
Reliance Fresh Phone Charger Purchase,Technology
Carrefour Books Purchase,Education
Spotify Payment,Entertainment
Zomato Meal,Food
Sagar Ratna Meal,Food
Shopping at Zara,Clothing
Spencer's Phone Charger Purchase,Technology
McDonald's Meal,Food
Medical Bill at Apollo,Utilities
Burger King Meal,Food
Nike Clothing Purchase,Clothing
Spencer's Laptop Purchase,Technology
Bus Ticket,Transportation
Shopping at H&M,Clothing
Carrefour Groceries Purchase,Food
Levis Jewelry Purchase,Clothing
Reliance Fresh Laptop Purchase,Technology
Big Bazaar Headphones Purchase,Technology
Amazon Prime Payment,Entertainment
H&M Clothing Purchase,Clothing
Spencer's Books Purchase,Education
Medical Bill at Apollo,Utilities
Zara Headphones Purchase,Clothing
Zara Books Purchase,Clothing
Reliance Fresh Groceries Purchase,Food
Medical Bill at Apollo,Utilities
Nike Shoes Purchase,Clothing
Nike Laptop Purchase,Clothing
Nike Shoes Purchase,Clothing
Big Bazaar Books Purchase,Education
Zara Laptop Purchase,Clothing
Zara Shoes Purchase,Clothing
Amazon Prime Payment,Entertainment
Netflix Subscription Payment,Entertainment
Pizza Hut Meal,Food
Uber Ride,Transportation
Shopping at Zara,Clothing
Airline Ticket,Transportation
Nike Furniture Purchase,Clothing
Levis Headphones Purchase,Clothing
Spencer's Laptop Purchase,Technology
Flight Ticket to Bangalore,Transportation
Zara Jewelry Purchase,Clothing
Spencer's Laptop Purchase,Technology
Shopping at H&M,Clothing
Nike Furniture Purchase,Clothing
Medical Bill at Fortis,Utilities
H&M Furniture Purchase,Clothing
Nike Shoes Purchase,Clothing
Shopping at H&M,Clothing
H&M Headphones Purchase,Clothing
D-Mart Groceries Purchase,Food
Uniqlo Laptop Purchase,Technology
Levis Laptop Purchase,Clothing
Levis Headphones Purchase,Clothing
Sagar Ratna Meal,Food
Levis Furniture Purchase,Clothing
Mobile Recharge Payment,Utilities
Burger King Meal,Food
Spencer's Groceries Purchase,Food
Nike Books Purchase,Clothing
H&M Furniture Purchase,Clothing
Amazon Prime Payment,Entertainment
H&M Furniture Purchase,Clothing
Fuel Purchase,Transportation
Airline Ticket,Transportation
Levis Jewelry Purchase,Clothing
Saravana Bhavan Meal,Food
Reliance Fresh Groceries Purchase,Food
Zara Groceries Purchase,Food
Zara Groceries Purchase,Food
Flight Ticket to Sydney,Transportation
Zomato Meal,Food
Nike Groceries Purchase,Food
Nike Clothing Purchase,Clothing
Electricity Bill Payment,Utilities
Nike Shoes Purchase,Clothing
Levis Headphones Purchase,Clothing
H&M Shoes Purchase,Clothing
Water Bill Payment,Utilities
Bus Ticket,Transportation
Bus Ticket,Transportation
Zara Books Purchase,Clothing
Burger King Meal,Food
Reliance Fresh Books Purchase,Education
Levis Furniture Purchase,Clothing
McDonald's Meal,Food
Big Bazaar Books Purchase,Education
Big Bazaar Groceries Purchase,Food
Shopping at Levis,Clothing
Medical Bill at Aster,Utilities
Netflix Subscription Payment,Entertainment
Levis Shoes Purchase,Clothing
Nike Headphones Purchase,Clothing
Gym Membership,Personal Care
Medical Bill at Aster,Utilities
Zara Furniture Purchase,Clothing
Electricity Bill Payment,Utilities
Metro Ticket,Transportation
Zara Furniture Purchase,Clothing
Swiggy Meal,Food
Spencer's Groceries Purchase,Food
D-Mart Groceries Purchase,Food
Shopping at Nike,Clothing
Spencer's Headphones Purchase,Technology
Medical Bill at Fortis,Utilities
Train Ticket,Transportation
Shopping at Levis,Clothing
Nike Groceries Purchase,Food
Reliance Fresh Groceries Purchase,Food
Flight Ticket to Mumbai,Transportation
H&M Jewelry Purchase,Clothing
Big Bazaar Headphones Purchase,Technology
Ola Cab,Transportation
Mobile Recharge Payment,Utilities
Reliance Fresh Headphones Purchase,Technology
Uniqlo Headphones Purchase,Technology
McDonald's Meal,Food
D-Mart Laptop Purchase,Technology
Ola Cab,Transportation
Nike Jewelry Purchase,Clothing
Shopping at H&M,Clothing
Water Bill Payment,Utilities
Shopping at H&M,Clothing
Flight Ticket to Tokyo,Transportation
Uber Ride,Transportation
Levis Groceries Purchase,Food
McDonald's Meal,Food
Netflix Subscription Payment,Entertainment
Big Bazaar Books Purchase,Education
Levis Books Purchase,Clothing
Nike Jewelry Purchase,Clothing
Zara Books Purchase,Clothing
Rent Payment,Housing
Sagar Ratna Meal,Food
Swiggy Meal,Food
Zara Shoes Purchase,Clothing
H&M Shoes Purchase,Clothing
Uniqlo Headphones Purchase,Technology
Zara Furniture Purchase,Clothing
Spencer's Groceries Purchase,Food
H&M Groceries Purchase,Food
Medical Bill at Fortis,Utilities
D-Mart Laptop Purchase,Technology
Swiggy Meal,Food
Netflix Subscription Payment,Entertainment
D-Mart Headphones Purchase,Technology
Nike Headphones Purchase,Clothing
Internet Bill Payment,Utilities
Train Ticket,Transportation
H&M Jewelry Purchase,Clothing
Levis Headphones Purchase,Clothing
Uniqlo Groceries Purchase,Food
Airline Ticket,Transportation
H&M Furniture Purchase,Clothing
Uniqlo Groceries Purchase,Food
Shopping at H&M,Clothing
Shopping at Levis,Clothing
Netflix Subscription Payment,Entertainment
Big Bazaar Headphones Purchase,Technology
Medical Bill at Apollo,Utilities
H&M Clothing Purchase,Clothing
H&M Shoes Purchase,Clothing
Dominos Meal,Food
Nike Laptop Purchase,Clothing
Rent Payment,Housing
Medical Bill at Aster,Utilities
Uniqlo Laptop Purchase,Technology
Dominos Meal,Food
D-Mart Books Purchase,Education
Pizza Hut Meal,Food
Levis Clothing Purchase,Clothing
Zara Groceries Purchase,Food
Burger King Meal,Food
Sagar Ratna Meal,Food
Nike Books Purchase,Clothing
Swiggy Meal,Food
Mobile Recharge Payment,Utilities
H&M Headphones Purchase,Clothing
Levis Laptop Purchase,Clothing
H&M Groceries Purchase,Food
Internet Bill Payment,Utilities
Ola Cab,Transportation
Zara Phone Charger Purchase,Clothing
Levis Furniture Purchase,Clothing
Starbucks Meal,Food
Metro Ticket,Transportation
Flight Ticket to Delhi,Transportation
Spotify Payment,Entertainment
Nike Books Purchase,Clothing
Medical Bill at Apollo,Utilities
Nike Groceries Purchase,Food
Airline Ticket,Transportation
Spencer's Phone Charger Purchase,Technology
Flight Ticket to Amsterdam,Transportation
Bus Ticket,Transportation
D-Mart Books Purchase,Education
Swiggy Meal,Food
Spencer's Groceries Purchase,Food
H&M Jewelry Purchase,Clothing
Levis Jewelry Purchase,Clothing
Zara Laptop Purchase,Clothing
Reliance Fresh Headphones Purchase,Technology
Swiggy Meal,Food
Water Bill Payment,Utilities
Shopping at Nike,Clothing
Pizza Hut Meal,Food
Reliance Fresh Groceries Purchase,Food
Uber Ride,Transportation
Levis Laptop Purchase,Clothing
Levis Laptop Purchase,Clothing
Carrefour Headphones Purchase,Technology
Shopping at Nike,Clothing
Zara Shoes Purchase,Clothing
Airline Ticket,Transportation
Levis Laptop Purchase,Clothing
Nike Laptop Purchase,Clothing
Internet Bill Payment,Utilities
Levis Laptop Purchase,Clothing
H&M Books Purchase,Clothing
Zara Headphones Purchase,Clothing
McDonald's Meal,Food
Zara Phone Charger Purchase,Clothing
Reliance Fresh Laptop Purchase,Technology
Zara Clothing Purchase,Clothing
Levis Shoes Purchase,Clothing
Zara Laptop Purchase,Clothing
Reliance Fresh Laptop Purchase,Technology
Shopping at Zara,Clothing
Nike Jewelry Purchase,Clothing
Reliance Fresh Laptop Purchase,Technology
Dominos Meal,Food
Levis Clothing Purchase,Clothing
Airline Ticket,Transportation
Electricity Bill Payment,Utilities
Starbucks Meal,Food
Levis Books Purchase,Clothing
Spencer's Headphones Purchase,Technology
Train Ticket,Transportation
Metro Ticket,Transportation
Shopping at Nike,Clothing
Medical Bill at Apollo,Utilities
Carrefour Books Purchase,Education

Uber 072515 SFPOOL,Transportation
United Airlines,Transportation
INTRST PYMNT,Payments
SparkFun,Shopping
McDonald's,Food
Starbucks,Food
United Airlines,Transportation
Touchstone Climbing,Entertainment
CD DEPOSIT .INITIAL.,Payments
ACH Electronic CreditGUSTO PAY 123456,Payments
Uber 063015 SFPOOL,Transportation
CREDIT CARD 3333 PAYMENT,Payments
Tectra Inc,Shopping
Amazon.com,Shopping
Walmart.com,Shopping
Best Buy,Shopping
Target,Shopping
Macy's,Shopping
Uber 041521 NYC**POOL**,Transportation
Lyft 051322 LA**SHARE**,Transportation
Delta Air Lines,Transportation
American Airlines,Transportation
Spirit Airlines,Transportation
MORTGAGE PAYMENT,Housing
RENT PAYMENT,Housing
ELECTRICITY BILL,Utilities
GAS BILL,Utilities
CABLE TV,Utilities
WATER BILL,Utilities
Chipotle,Food
Olive Garden,Food
Outback Steakhouse,Food
Panera Bread,Food
PAYCHECK DEPOSIT,Payments
TAX REFUND,Payments
BONUS PAYMENT,Payments
INTEREST EARNED,Payments
AMC Theatres,Entertainment
Dave & Buster's,Entertainment
Top Golf,Entertainment
Escape Room Adventure,Entertainment
Netflix,Subscriptions
Hulu,Subscriptions
Spotify,Subscriptions
Adobe Creative Cloud,Subscriptions
Amazon.com,Shopping
Walmart.com,Shopping
Best Buy,Shopping
Target,Shopping
Macy's,Shopping
